ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Attribute Name (pa_material)","Attribute Value (pa_material)","Attribute In Variations (pa_material)","Attribute Is Visible (pa_material)","Attribute Is Taxonomy (pa_material)","Attribute Name (pa_size)","Attribute Value (pa_size)","Attribute In Variations (pa_size)","Attribute Is Visible (pa_size)","Attribute Is Taxonomy (pa_size)","Attribute Name (Logo)","Attribute Value (Logo)","Attribute In Variations (Logo)","Attribute Is Visible (Logo)","Attribute Is Taxonomy (Logo)","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Product Type","Product visibility","Product categories","Product tags","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating","contact us","discount title","discount season","discount value","discount date","discount image","display discount"
39,"Hoodie with Pocket","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/hoodie-with-pocket/,0,woo-hoodie-with-pocket,35,45,35,instock,,,0,color,Gray,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-pocket-2.jpg,hoodie-with-pocket-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-pocket-2.jpg,,simple,exclude-from-catalog|exclude-from-search|featured,men>t-shirt,,exclude-from-catalog|exclude-from-search|featured,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie-with-pocket,,,0,0,open,closed,2020-10-16,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
40,"Hoodie with Zipper","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/hoodie-with-zipper/,0,woo-hoodie-with-zipper,45,45,,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-zipper-2.jpg,hoodie-with-zipper-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/hoodie-with-zipper-2.jpg,,simple,featured,men,,featured,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie-with-zipper,,,0,0,open,closed,2020-10-15,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,,,0,0,,,,,,,
41,"Long Sleeve Tee","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/long-sleeve-tee/,0,woo-long-sleeve-tee,25,25,,instock,,,0,color,green,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/long-sleeve-tee-2.jpg,long-sleeve-tee-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/long-sleeve-tee-2.jpg,,simple,,women>dress,,,publish,1,eman,0e0m0a0n0@gmail.com,,,long-sleeve-tee,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
42,Polo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","This is a simple product.",2020-10-07,product,http://localhost/1/product/polo/,0,woo-polo,20,20,,instock,,,0,color,blue,no,yes,yes,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/polo-2.jpg,polo-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/polo-2.jpg,,simple,,men>shirt|men>t-shirt,,,publish,1,eman,0e0m0a0n0@gmail.com,,,polo,,,0,0,open,closed,2020-10-16,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,"a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";s:1:""1"";s:12:""is_variation"";s:1:""0"";s:11:""is_taxonomy"";s:1:""1"";}}",4.5.2,,,0,0,,,,,,,
43,Album,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",2020-10-07,product,http://localhost/1/product/album/,0,woo-album,15,15,,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/album-1.jpg,album-1.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/album-1.jpg,,simple,,Accessories|women>dress>short,,,publish,1,eman,0e0m0a0n0@gmail.com,,,album,,,0,0,open,closed,2020-10-16,yes,yes,,no,,,,,,,no,no,,,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg|https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg,"Single 1|Single 2",1,1,,,no,taxable,standard,,,,4.5.2,,,0,0,,,,,,,
44,Single,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",2020-10-07,product,http://localhost/1/product/single/,0,woo-single,2,3,2,instock,,,0,color,,no,no,no,material,,no,no,no,size,,no,no,no,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/single-1.jpg,single-1.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/single-1.jpg,,simple,,men>choose,,,publish,1,eman,0e0m0a0n0@gmail.com,,,single,,,0,0,open,closed,2020-10-16,yes,yes,,no,,,,,,,no,no,,,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,Single,1,1,,,no,taxable,standard,,,,4.5.2,,,0,0,,,,,,,
45,"V-Neck T-Shirt - red",,"color: red",2020-10-07,product,http://localhost/1/product/v-neck-t-shirt/?attribute_pa_color=red,31,woo-vneck-tee-red,20,20,,instock,,,0,color,red,yes,yes,yes,material,,no,no,no,size,,yes,yes,yes,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/vneck-tee-2.jpg,vneck-tee-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/vneck-tee-2.jpg,,variable,featured|outofstock,Uncategorized,,featured|outofstock,publish,1,eman,0e0m0a0n0@gmail.com,,,v-neck-t-shirt-red,,,v-neck-t-shirt,0,closed,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,0,0,,,,,,,
46,"V-Neck T-Shirt - green",,"color: green",2020-10-07,product,http://localhost/1/product/v-neck-t-shirt/?attribute_pa_color=green,31,woo-vneck-tee-green,20,20,,instock,,,0,color,green,yes,yes,yes,material,,no,no,no,size,,yes,yes,yes,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/vnech-tee-green-1.jpg,vnech-tee-green-1.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/vnech-tee-green-1.jpg,,variable,featured|outofstock,Uncategorized,,featured|outofstock,publish,1,eman,0e0m0a0n0@gmail.com,,,v-neck-t-shirt-green,,,v-neck-t-shirt,0,closed,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,0,0,,,,,,,
47,"V-Neck T-Shirt - blue",,"color: blue",2020-10-07,product,http://localhost/1/product/v-neck-t-shirt/?attribute_pa_color=blue,31,woo-vneck-tee-blue,15,15,,instock,,,0,color,blue,yes,yes,yes,material,,no,no,no,size,,yes,yes,yes,Logo,,no,no,no,,http://localhost/1/wp-content/uploads/2020/10/vnech-tee-blue-1.jpg,vnech-tee-blue-1.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/vnech-tee-blue-1.jpg,,variable,featured|outofstock,Uncategorized,,featured|outofstock,publish,1,eman,0e0m0a0n0@gmail.com,,,v-neck-t-shirt-blue,,,v-neck-t-shirt,0,closed,closed,2020-10-08,no,no,,yes,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,0,0,,,,,,,
48,"Hoodie - red, No",,"color: red, Logo: No",2020-10-07,product,http://localhost/1/product/hoodie/?attribute_pa_color=red&attribute_logo=No,32,woo-hoodie-red,42,45,42,instock,,,0,color,red,yes,yes,yes,material,,no,no,no,size,,no,no,no,Logo,No,yes,yes,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-2.jpg,hoodie-2.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/hoodie-2.jpg,,variable,rated-1,men>shirt,,rated-1,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie-red-no,,,hoodie,1,closed,closed,2020-10-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,0,0,,,,,,,
49,"Hoodie - green, No",,"color: green, Logo: No",2020-10-07,product,http://localhost/1/product/hoodie/?attribute_pa_color=green&attribute_logo=No,32,woo-hoodie-green,45,45,,instock,,,0,color,green,yes,yes,yes,material,,no,no,no,size,,no,no,no,Logo,No,yes,yes,no,,http://localhost/1/wp-content/uploads/2020/10/hoodie-green-1.jpg,hoodie-green-1.jpg,,,,http://localhost/1/wp-content/uploads/2020/10/hoodie-green-1.jpg,,variable,rated-1,men>shirt,,rated-1,publish,1,eman,0e0m0a0n0@gmail.com,,,hoodie-green-no,,,hoodie,2,closed,closed,2020-10-08,no,no,,no,,,,,,,no,no,,,,,0,0,,,no,taxable,standard,,,,4.5.2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,0,0,,,,,,,
